"Abbreviation","Remedy Name","Mental_Emotional_Themes","General_Themes","Key_Local_Symptoms","Worse_From","Better_From","Notes_Sphere"
"ABIES-C","Abies canadensis (Pinus canadensis)","Low-spirited and irritable when stomach is empty; anxious about health; feels weak and “all gone” at the epigastrium with constant desire to eat, yet food does not truly satisfy","Gastric and uterine remedy; chlorotic and debilitated states; ravenous hunger with rapid sinking and weakness; tendency to uterine displacement with bearing-down and backache; suited to thin, overworked or growing subjects who overtax digestion","Gnawing, hungry, faint feeling at epigastrium, soon after eating or when stomach is supposedly full; craving for pickles, sour things and coarse food; distension and discomfort after overeating; sense of uterine weight and soreness in women, with dragging lumbar pains; haemorrhoids and constipation in the bilious","Overeating or irregular meals; tea and tobacco; cold, damp weather; exertion after meals; prolonged standing in uterine cases","Light, frequent meals; warm, simple food; rest after eating; gentle exercise when digestion has settled; supporting garments in pelvic weakness","Gastric and female pelvic sphere; ravenous but unrefreshing appetite, faint “all gone” stomach, and uterine bearing-down in thin, chilly, overworked or chlorotic patients"
"ABIES-N","Abies nigra","Gloomy, anxious and hypochondriacal; old people especially feel despondent and worried over digestion; irritable and sleepless from constant sense of weight in stomach","Marked dyspepsia remedy, especially in elderly; slow, weak digestion with cardiac sympathy; feeling as if a hard lump or load remained in stomach after eating; gastric catarrh of tea- or tobacco-users and those who eat late, heavy suppers","Sensation as if a hard-boiled egg, stone or great weight were lodged in stomach, especially after meals and at night; pressure and pain radiating to chest and shoulders with palpitation or oppression; eructations, heartburn and sour risings; restless sleep, wakes with distress at epigastrium; constipation with dry, knotty stools","Late, heavy suppers; tea, coffee and tobacco; eating quickly or overeating; lying down soon after meals, especially at night","Light, early evening meals; simple, easily digested food; gentle walking after eating; sleeping with head and shoulders raised","Gastric and cardiac sphere; “lump in stomach” dyspepsia of elderly, tea- and tobacco-users with night aggravation and reflex heart symptoms"
"ABROT","Abrotanum","Irritable, peevish and cross, especially children; may be cruel, strikes or abuses others; great anxiety about health with fear of death in wasting states; restless and discontented","Acts on nutrition, mesenteric glands and serous membranes; marasmus, especially of lower extremities; alternation or metastasis of diarrhoea and rheumatism or other complaints; ill-effects of checked discharges or haemorrhoids","Marked emaciation, particularly of legs and about wrists, though appetite may be ravenous; chronic diarrhoea with undigested, offensive stools; metastasis of rheumatism to bowels or vice versa; abdominal distension with hard, knotty mesenteric glands; haemorrhoids suppressed then followed by serious internal complaints","Checking or suppression of diarrhoea, haemorrhoids or skin eruptions; cold air and drafts; night and early morning; emotional upsets in already debilitated patients","Return of original discharge or eruption; warm, dry climate; nourishing but digestible food in small, frequent amounts; gentle, non-fatiguing movement","Nutritional and metastatic sphere; marasmus of children or chronic adults with ravenous appetite, alternation of bowel and rheumatic symptoms, and ill-effects of suppressed discharges or haemorrhoids"
"ACT-SP","Actaea spicata","Very nervous and easily exhausted; anxiety from the least effort; irritable and oversensitive to pain and disturbance","Rheumatic remedy for small joints, especially wrists and fingers; slight exertion causes disproportionate fatigue, trembling and palpitations","Tearing, tingling, drawing pains in small joints; joints swell, red and very tender from trivial use (writing, light work); wrist rheumatism with great weakness of hands","Slight motion or exertion; touch; changes in weather; cold and damp","Rest; keeping the joint still and supported","Small-joint rheumatism where swelling, pain and fatigue are out of proportion to effort"
"ADON","Adonis vernalis","Low vitality with dull, depressed mood; anxiety about the heart and circulation","Acts on heart and kidneys; weak, irregular or slow pulse with cardiac insufficiency; tendency to dropsy with swelling of legs, abdomen or chest","Sense of precordial oppression and tightness in heart region; shortness of breath on exertion, needs to sit up; scanty urine with oedema of lower limbs","Exertion; lying flat; hurrying or climbing","Rest; sitting up; regulated activity and fluid intake (supportive)","Cardio-renal remedy for failing cardiac compensation after rheumatism, influenza or kidney disease (always coordinated with medical care)"
"ADREN","Adrenalinum","Excitable, anxious, restless; may swing between collapse and over-stimulation","Acts on sympathetic nervous system and circulation; sudden rises in blood pressure; vasoconstriction with pallor; states of circulatory failure or shock-like collapse","Palpitations and rapid pulse with precordial anxiety; breathlessness and chest tightness; dryness of mucous membranes; dilated pupils; cold sweat","Sudden stress, fright or emotional shock; over-exertion; stimulant abuse","Rest; lying down; quiet, dark environment","Highly specialized remedy for cardio-vascular and endocrine states; use only under supervision of a qualified practitioner"
"AESC","Aesculus hippocastanum","Gloomy and despondent; irritable and easily angered","Acts strongly on lower bowel and venous system; portal congestion and venous stasis; heaviness and fullness rather than acute inflammation","Large, purple, congested haemorrhoids with much pain and little bleeding; sensation of sticks or splinters in rectum, worse after stool; constant dull aching in sacrum and low back, as if it would give way; dry, burning, raw mucous membranes of rectum and throat","Standing or walking long; after stool; cold drafts; exertion","Rest; lying down; cool applications to rectal area (supportive)","Classic remedy for haemorrhoidal and pelvic venous congestion with sacral backache"
"AETH","Aethusa cynapium","Inability to think or fix attention; mental confusion and stupor; anxious, staring expression in children who seem vacant or out of touch","Acts on brain and gastro-intestinal tract, especially in infants and children; violent vomiting and diarrhoea with great prostration","Intolerance of milk: child vomits curdled milk soon after feeding and then becomes drowsy and collapsed; greenish, watery, offensive stools with colic; face pale, pinched, with blue rings around eyes, looks prematurely old; convulsions during dentition or from digestive upsets","Milk (especially cow’s milk); summer heat; overfeeding; dentition","Vomiting and stool may temporarily relieve pains; cool air; careful regulation of feeds (supportive)","Picture of digestive collapse in infants and children with characteristic milk intolerance and mental dullness; severe cases are medical emergencies"
"AETHI-M","Aethiops mineralis","Irritable and sensitive; often seen in chronically ill, scrofulous children","Blend of Sulphur and Mercury qualities; chronic low-grade glandular and skin conditions; reduced resistance","Chronic eye problems such as scrofulous ophthalmia with red, inflamed, discharging eyes; ear discharges (otorrhoea), often offensive and longstanding; painful, itching, scabby eruptions on scalp and skin; enlarged glands","Cold and damp; at night; getting chilled; suppression of discharges","Warmth (sometimes); maintaining open discharges under supervision","Chronic scrofulous, glandular, skin–ear–eye conditions in weakened or tainted constitutions"
"AGAR","Agaricus muscarius","States vary between silly, loquacious, goofy behavior and confusion or delirium; may fear death yet be reckless; oversensitive to noises and touch","Acts on brain, spinal cord and circulation; tremors, twitchings, choreic movements and jerking of muscles; marked chilliness and sensitivity to cold and frost","Twitching of facial muscles and eyelids; spasms and jerky, uncertain gait; sensations as if needles of ice were piercing the skin; chilblains and frostbite with burning, itching, bluish-red hands, feet and ears; headaches and neuralgias in nervous or alcoholic patients","Cold, especially before or during storms; cold, damp weather; mental exertion; alcohol abuse","Gentle movement; gradual, steady warming rather than sudden heat","Nervous system remedy for twitching, chorea-like movements and frost-bite or chilblain states"
